No,U_m2
2719,b2f4a0cc420856c27771415fadd7c1b8
3666,f0ea4098c98f928ea9de0be9dbd3a668
434,1cd52fd0004c485e5aea964c08607dd6
2767,b74c3bfedb904d033579926afeaa711a
933,3c636f1c0264c96619deb8968129002a
2066,886a5178095514d3dd4619fa97d0175e
1789,75de3996e676b9f606c98ad43ab38737
2176,8fcd0583b705f0272cfa43cefadb2569
3534,e8a3c579d71f92f966f2cc4476216e63
2106,8ad7c28ddb65f71b4b18a80e8afec624
3246,d774190db53c268cc402577b8bf90435
3015,c7b4864845f38abcac6e29b8807d093c
1550,6516ca33f4a17ffe14cc4e39806e14e2
468,1f46df3ca5a2368e87dd0c1092ec7e5e
3742,f7f57ea5a45368ab71a919578128ee0b
2210,91c28497ac4fed285bce49b8b290c4d4
1287,53e1e3d7876e363d6d167037cd763f99
2435,9fa1e9cd839187e4e67af55476987921
530,2336f0f57322c27ce648439f264e03b1
1383,5a9473869a71504b1f904d72a741d2e3
1767,748e08d5bcae579d359d74e084b040fe
2639,ad7857bb4853982dedb16c637dca6d89
924,3c14d165e899d329de6d3a6ea9eee436
